Ethical concern,% of medical AI ethics publications,Year
Bias,23%,2020
Privacy,30%,2020
Equity,7%,2020
Transparency,15%,2020
Trust,11%,2020
Security,12%,2020
Accessibility,6%,2020
Safety,7%,2020
Bias,25%,2021
Privacy,25%,2021
Equity,16%,2021
Transparency,10%,2021
Trust,13%,2021
Security,8%,2021
Accessibility,6%,2021
Safety,7%,2021
Bias,30%,2022
Privacy,20%,2022
Equity,19%,2022
Transparency,10%,2022
Trust,11%,2022
Security,9%,2022
Accessibility,5%,2022
Safety,7%,2022
Bias,29%,2023
Privacy,22%,2023
Equity,20%,2023
Transparency,13%,2023
Trust,13%,2023
Security,8%,2023
Accessibility,7%,2023
Safety,7%,2023
Bias,31%,2024
Privacy,27%,2024
Equity,17%,2024
Transparency,15%,2024
Trust,13%,2024
Security,11%,2024
Accessibility,11%,2024
Safety,10%,2024